s_id,u_id,return_count,returns nms,return_count similar,nonreturn_count,return_shape
2660,4083,3,2,0,2,1
2660,3461,4,1,2,1,1
2660,3437,0,0,0,5,0
2660,2869,4,3,0,1,1
2660,3096,0,0,0,5,0
2660,2860,3,0,1,2,2
2660,3486,2,1,0,3,1
2660,3653,4,0,2,1,1
2660,3966,0,0,0,5,0
2660,3333,2,2,0,3,0
2660,3964,4,2,0,1,2
2660,3892,5,1,1,0,2
2660,3869,2,0,1,3,1
2660,4063,5,2,1,0,1
2660,4279,4,3,1,1,0
2660,3696,3,0,3,2,0
2660,2731,5,1,0,5,3
2660,900,2,0,0,2,1
2660,4088,3,1,0,2,2
2660,3423,4,1,2,1,0
2660,3909,5,3,1,0,0
2660,4155,5,1,0,0,1
2660,3107,4,1,2,1,0
2660,3311,8,2,3,2,3
2660,2854,10,5,1,0,2
2660,3513,5,1,0,0,2
2660,3961,2,1,1,3,0
2660,3323,0,0,0,5,0
2660,3473,5,3,1,0,1
2660,3676,5,3,2,0,0
2660,3018,5,1,1,0,3
2660,2057,3,1,0,0,2
2660,3601,4,1,1,1,2
2660,4153,2,1,0,3,0
2660,4073,0,0,0,5,0
1865,1887,3,1,1,2,1
1865,900,0,0,0,8,0
1865,2709,2,2,0,3,0
1865,3376,3,1,0,3,2
1865,625,3,0,0,3,3
1865,4068,3,0,2,0,1
1865,1645,4,2,0,2,1
1865,5363,5,5,0,0,0
1865,1848,2,0,0,3,1
1865,5330,2,0,1,2,1
1865,5003,3,2,0,2,1
1865,2899,3,0,1,2,2
1865,5884,3,0,0,0,2
12381,12758,4,4,0,1,0
12381,7624,9,4,2,6,3
12381,10896,5,3,0,0,0
12381,13687,9,2,4,1,2
12381,15335,4,4,0,0,0
12381,5485,4,0,2,1,1
12381,15876,4,1,0,1,1
12381,16012,5,1,0,0,3
12381,15527,5,1,2,0,1
12381,13761,0,0,0,6,0
12381,13850,4,3,1,1,0
12381,12796,5,1,2,0,2
12381,13452,10,5,1,0,3
12381,12892,4,1,1,1,1
12381,13697,5,1,1,0,2
12381,12642,4,1,0,1,3
12381,13371,5,4,0,0,1
12381,3610,4,1,2,1,0
12381,12584,9,4,2,1,1
12381,14296,8,2,0,2,5
12381,13514,5,4,0,0,0
12381,6202,4,0,0,1,2
12381,8871,5,1,0,0,3
12381,10644,4,4,0,0,0
12381,12285,5,2,1,0,2
12381,15098,10,1,0,0,1
12381,14123,10,7,0,0,2
12381,15319,5,2,0,0,0
12381,14561,5,1,0,0,3
12381,15270,4,2,0,1,1
12381,6258,5,3,0,0,1
12381,15968,5,5,0,0,0
12381,10980,4,1,0,1,1
12381,15163,5,1,0,0,3
12381,4792,4,3,0,1,0
12381,8754,8,3,0,2,4
12381,13356,5,1,0,0,2
12381,15959,4,0,0,1,4
12381,15499,3,1,1,2,0
12381,12526,4,2,1,1,0
12381,16251,5,1,0,0,4
12381,14456,4,1,0,1,3
12381,15473,3,0,0,2,3
12381,9080,4,1,1,0,1
12381,13622,5,0,2,0,1
12381,15938,5,4,0,0,1
12381,15932,5,0,0,0,2
12381,11483,3,0,1,2,1
12381,13179,4,2,1,1,1
12381,12440,5,5,0,0,0
12381,9788,10,2,2,3,4
12381,13210,4,1,1,1,0
12381,1508,5,3,0,0,1
12381,12603,5,5,0,0,0
12381,15731,5,0,0,0,5
12381,14426,4,0,0,1,4
12381,13457,4,1,0,1,1
12381,13095,5,0,1,0,3
12381,10906,4,2,1,1,1
12381,13812,4,2,0,6,1
12381,14748,4,1,2,1,0
12381,15734,5,2,0,0,0
12381,14599,5,0,0,0,0
17931,17812,6,3,1,4,2
17931,12947,5,1,0,0,3
17931,19262,0,0,0,5,0
17931,15444,0,0,0,5,0
17931,9916,0,0,0,5,0
17931,17893,5,2,0,0,1
17931,15116,4,1,3,1,0
17931,17941,4,0,0,1,3
17931,19121,0,0,0,5,0
17931,18125,0,0,0,5,0
17931,16695,4,0,1,1,1
17931,18760,3,1,0,2,2
17931,14727,0,0,0,5,0
17931,7332,0,0,0,5,0
17931,17767,3,1,1,2,1
17931,14714,5,0,0,0,5
17931,18531,5,2,0,0,2
17931,2709,5,2,0,0,2
17931,2678,8,1,0,2,4
17931,3376,0,0,0,5,0
17931,19236,0,0,0,5,0
17931,18618,3,1,2,2,0
17931,18484,5,2,0,0,0
17931,19338,0,0,0,5,0
17931,5103,4,1,1,1,0
17931,15448,4,0,2,1,0
17931,13884,3,0,1,2,0
17931,18417,0,0,0,5,0
17931,18640,4,1,0,1,2
17931,12863,2,1,0,3,1
17931,17801,0,0,0,5,0
17931,18603,3,0,1,2,0
8864,8942,3,1,0,2,2
8864,9041,5,0,3,0,1
8864,9848,4,1,1,1,2
8864,10072,5,5,0,0,0
8864,1654,5,2,0,0,2
8864,9466,5,5,0,0,0
8864,8894,5,2,0,0,3
8864,577,3,0,1,2,2
8864,2269,3,0,2,2,1
760,3746,5,2,2,0,1
