u_id,s_id,o_id,return_count,return_count nms,return_count similar,nonreturn_count,return_shape,return_budget
1766,511,667,2,0,0,2,2,0
2062,338,676,4,2,0,1,1,1
2055,511,673,3,1,1,2,1,0
374,338,677,3,2,0,2,1,0
500,787,680,3,1,0,2,1,1
2057,511,675,2,1,0,1,1,0
500,787,682,3,1,1,3,0,1
500,787,683,4,1,0,1,1,2
2068,511,678,5,2,0,0,2,1
500,787,688,0,0,0,5,0,0
2077,338,685,0,0,0,5,0,0
673,511,686,2,0,0,3,2,0
1516,511,689,5,1,1,0,2,1
928,338,693,5,3,0,0,2,0
2098,511,692,0,0,0,5,0,0
2095,338,691,4,2,1,1,0,1
2069,337,681,3,1,1,0,0,1
559,511,696,0,0,0,5,0,0
2105,338,695,0,0,0,3,0,0
1891,337,697,0,0,0,3,0,0
2076,511,698,3,1,0,2,1,1
2121,337,699,0,0,0,5,0,0
1265,408,694,3,1,1,0,1,0
740,337,707,1,1,0,4,0,0
2084,337,687,0,0,0,5,0,0
2129,511,704,0,0,0,5,0,0
1227,43,709,0,0,0,5,0,0
2133,511,706,4,2,0,1,1,1
2132,338,705,5,1,0,0,3,1
577,511,710,2,1,0,3,1,0
1639,338,708,1,1,0,4,0,0
2179,511,711,5,1,0,0,3,1
1227,43,714,0,0,0,2,0,0
1923,337,716,1,0,0,4,1,0
787,787,718,0,0,0,3,0,0
787,787,719,2,1,0,1,0,1
787,787,720,3,1,0,0,0,2
2197,761,717,4,0,0,1,4,0
640,511,721,3,1,1,3,1,0
1303,338,723,0,0,0,5,0,0
2221,511,722,3,2,0,2,0,1
2208,338,730,5,2,0,0,2,1
1227,43,727,0,0,0,2,0,0
2235,337,726,3,3,0,2,0,0
1227,43,734,0,0,0,4,0,0
2252,337,733,5,2,0,0,2,1
298,337,737,0,0,0,5,0,0
506,511,736,3,0,1,2,2,0
2259,338,735,0,0,0,5,0,0
296,761,738,3,1,0,2,2,0
936,337,739,3,2,0,2,1,0
247,337,729,4,2,1,1,1,0
1227,43,740,0,0,0,3,0,0
1160,338,743,2,1,0,3,1,0
1853,761,742,0,0,0,5,0,0
854,338,741,0,0,0,5,0,0
1227,43,744,0,0,0,5,0,0
2188,511,715,5,1,1,0,1,2
2227,511,725,4,3,0,1,1,0
2293,337,745,4,1,1,1,2,0
1620,511,732,4,2,1,1,1,0
1516,511,747,3,3,0,2,0,0
1999,511,746,1,1,0,4,0,0
2278,337,750,1,0,0,4,1,0
500,787,752,3,1,0,2,1,1
1265,408,749,2,0,0,1,2,0
646,511,211,4,2,1,1,1,0
1350,511,756,5,3,0,0,1,1
577,511,757,2,1,0,3,0,1
2356,337,760,4,2,1,1,0,1
2355,511,759,3,0,0,0,2,1
2266,337,758,3,1,1,2,0,1
2331,338,754,3,1,0,2,2,0
2347,337,755,5,1,1,0,2,1
2330,337,753,2,1,0,1,1,0
622,338,761,3,1,0,2,2,0
559,511,762,0,0,0,5,0,0
1998,338,763,5,1,3,0,0,1
2365,337,765,4,3,0,1,1,0
2362,338,766,3,0,1,2,2,0
2370,338,767,2,0,0,3,2,0
2353,337,769,0,0,0,5,0,0
2374,337,770,5,1,0,0,4,0
1779,337,774,2,1,1,3,0,0
2384,338,775,2,0,1,3,1,0
1559,337,777,5,3,0,0,1,1
1646,338,778,3,1,2,2,0,0
2035,338,771,0,0,0,5,0,0
2146,338,779,4,2,1,1,1,0
2378,338,772,0,0,0,5,0,0
2290,337,773,5,1,2,0,1,1
661,338,782,0,0,0,3,0,0
2047,338,780,0,0,0,5,0,0
553,338,784,3,1,2,2,0,0
2416,511,787,5,3,0,0,2,0
2291,338,789,5,2,1,0,2,0
2417,511,788,0,0,0,5,0,0
2427,338,797,3,0,0,2,1,2
2453,337,798,0,0,0,5,0,0
2439,760,794,2,1,0,3,1,0
2431,338,791,5,2,0,0,1,2
2430,337,796,4,3,0,1,0,1
2457,787,799,3,1,2,2,0,0
2176,511,806,5,1,0,0,3,1
2239,337,805,2,1,0,3,1,0
2388,511,802,4,1,1,1,0,2
2458,338,800,5,5,0,0,0,0
2438,338,795,5,2,1,0,0,2
2442,761,793,5,5,0,0,0,0
2464,337,803,2,1,0,3,1,0
2441,338,792,5,3,0,0,0,2
509,511,786,1,0,1,4,0,0
487,511,807,5,4,1,0,0,0
2230,338,810,1,0,0,4,1,0
2236,511,790,4,2,0,1,2,0
1210,338,811,5,0,1,0,4,0
2489,760,812,3,3,0,2,0,0
2451,511,813,3,1,1,2,1,0
1950,338,801,2,0,0,3,2,0
2264,511,809,4,1,2,1,1,0
1392,338,808,4,1,1,1,2,0
2511,338,826,0,0,0,3,0,0
2510,338,824,3,1,0,2,2,0
2509,338,823,2,0,2,3,0,0
2503,337,821,5,3,0,0,1,1
2494,337,820,3,0,2,2,1,0
2501,338,819,0,0,0,5,0,0
2502,511,818,5,2,0,0,1,2
2500,511,817,5,2,1,0,2,0
2498,511,816,5,2,1,0,0,2
2499,337,815,5,2,2,0,0,1
2497,337,814,5,4,0,0,0,1
1933,338,828,0,0,0,5,0,0
1850,338,829,4,2,0,1,1,1
2459,337,831,5,0,1,0,1,3
2450,511,830,5,0,0,0,5,0
2527,511,832,4,2,0,1,1,1
2528,337,833,2,1,1,3,0,0
2226,338,724,3,2,0,2,1,0
1147,338,835,3,1,2,0,0,0
1700,337,836,3,0,0,2,0,3
1691,337,838,4,3,0,1,1,0
310,337,842,0,0,0,5,0,0
1316,338,837,2,0,0,3,1,1
1227,43,844,0,0,0,6,0,0
2439,760,845,3,2,0,2,1,0
1887,511,846,4,1,0,1,3,0
1464,511,841,5,1,1,0,3,0
900,1865,848,0,0,0,8,0,0
2468,338,849,3,2,0,2,1,0
2546,337,843,0,0,0,5,0,0
2549,337,850,0,0,0,5,0,0
2424,338,839,5,2,0,0,1,2
2197,761,852,3,1,2,2,0,0
2543,338,847,3,3,0,2,0,0
2554,338,851,5,4,0,0,1,0
2176,338,853,4,1,0,1,2,1
2331,338,854,1,0,0,5,1,0
740,337,859,4,2,0,1,2,0
1350,337,858,2,1,1,3,0,0
2172,337,857,3,1,1,2,1,0
1928,338,856,4,1,0,1,1,2
1395,337,863,1,0,0,4,1,0
506,760,865,5,5,0,0,0,0
1227,43,866,0,0,0,2,0,0
500,787,869,0,0,0,5,0,0
2643,787,870,0,0,0,4,0,0
2365,337,871,5,2,1,0,1,1
2577,2660,855,3,1,0,2,0,2
2628,787,864,4,0,0,1,0,4
2629,338,877,5,3,2,0,0,0
2658,337,876,5,2,1,0,2,0
2651,338,874,5,4,0,0,1,0
2606,337,862,4,2,1,1,0,1
2675,338,879,4,3,0,1,1,0
1578,337,873,1,1,0,4,0,0
2662,338,883,3,0,1,2,2,0
2731,338,886,3,2,0,2,1,0
2721,337,885,5,1,2,0,1,1
2650,338,872,2,0,0,3,2,0
2726,338,884,5,1,1,0,2,1
2770,337,887,4,1,0,1,2,1
2792,2660,894,3,2,0,2,1,0
2729,338,897,0,0,0,5,0,0
2846,337,899,0,0,0,5,0,0
2835,338,898,5,2,2,0,0,1
2589,337,901,2,1,1,3,0,0
2738,338,895,0,0,0,5,0,0
2834,338,900,5,4,1,0,0,0
2329,337,903,5,4,0,0,0,1
2866,761,904,4,2,1,1,0,1
1243,338,907,3,2,0,2,0,1
1341,337,908,3,0,0,2,2,1
2347,337,909,5,2,1,0,1,1
2872,337,910,0,0,0,5,0,0
2598,338,912,2,1,0,3,1,0
2801,338,911,4,1,0,1,1,2
2868,338,905,5,4,0,0,0,1
2860,2660,902,3,0,1,2,2,0
2869,2660,906,4,3,0,1,1,0
2873,338,913,5,3,0,0,2,0
2370,338,920,0,0,0,5,0,0
1950,338,922,5,2,1,0,2,0
2883,787,914,0,0,0,5,0,0
2896,2660,917,1,0,0,4,1,0
2709,1865,915,2,2,0,3,0,0
2913,787,919,5,2,2,0,0,1
2756,760,921,2,1,0,3,1,0
2571,338,923,5,2,0,0,0,3
2899,1865,918,3,0,1,2,2,0
2891,761,916,0,0,0,5,0,0
1147,338,926,3,0,1,2,2,0
2972,338,928,4,0,1,1,3,0
2641,2660,924,3,1,1,2,0,1
3018,2660,929,5,1,1,0,3,0
3022,338,930,2,2,0,3,0,0
935,761,931,4,0,0,1,3,1
2963,338,927,5,3,0,0,2,0
2468,338,934,3,2,0,2,1,0
2210,338,932,4,2,1,1,1,0
673,338,935,2,0,1,3,0,1
3064,338,936,3,3,0,2,0,0
3072,337,940,3,2,1,2,0,0
1350,337,946,2,0,0,3,2,0
2994,338,943,2,1,0,3,1,0
3096,2660,947,0,0,0,5,0,0
3095,2660,948,4,1,2,1,1,0
933,338,938,5,4,1,0,0,0
3114,337,951,5,5,0,0,0,0
1962,337,950,2,0,0,3,2,0
3107,2660,949,4,1,2,1,0,1
3116,2660,954,5,2,2,0,1,0
3135,337,957,0,0,0,5,0,0
1868,338,963,3,1,0,2,2,0
3129,338,953,4,0,0,1,4,0
3140,337,960,0,0,0,5,0,0
3128,761,959,5,0,3,0,1,1
2854,2660,966,5,2,1,0,1,1
3176,338,964,2,0,0,3,2,0
3182,338,965,5,1,0,0,1,3
1316,338,973,3,0,2,2,1,0
3040,337,969,0,0,0,5,0,0
3202,338,970,0,0,0,5,0,0
3167,2660,962,5,3,1,0,1,0
1516,2660,974,5,3,2,0,0,0
2236,337,972,3,1,0,2,2,0
2226,338,977,5,3,2,0,0,0
3215,2660,976,3,2,0,2,1,0
3212,337,971,0,0,0,5,0,0
3195,2660,968,3,2,0,2,1,0
577,338,979,1,0,0,4,0,1
3243,2660,978,5,1,1,0,1,2
2721,2660,981,3,2,0,2,1,0
3274,337,982,5,2,1,0,2,0
1206,338,985,1,0,0,4,0,1
2733,338,988,4,0,0,1,2,2
1708,338,986,5,2,2,0,1,0
3284,2660,983,5,3,0,0,0,2
778,787,989,4,0,1,1,2,1
1828,337,992,4,2,0,1,2,0
669,338,990,5,2,0,0,2,1
3305,337,995,4,2,0,1,0,2
3311,2660,997,3,2,1,2,0,0
500,787,998,4,1,0,1,1,2
500,787,999,3,3,0,0,0,0
3302,338,993,0,0,0,5,0,0
500,787,1002,0,0,0,5,0,0
500,787,1003,2,0,0,1,0,2
2213,3314,987,4,1,0,1,2,1
3177,2660,1004,3,1,0,2,1,1
3323,2660,1001,0,0,0,5,0,0
3327,337,1006,2,2,0,1,0,0
1985,337,984,0,0,0,5,0,0
500,787,1010,0,0,0,2,0,0
3337,338,1013,5,0,2,0,1,2
500,787,1014,1,1,0,1,0,0
3333,2660,1008,2,2,0,3,0,0
3326,338,1005,3,0,0,2,3,0
3371,337,1018,5,4,1,0,0,0
3377,338,1020,2,0,0,3,1,1
3379,2660,1021,4,1,0,1,3,0
3363,338,1016,5,1,0,0,3,1
3375,337,1019,5,1,1,0,0,3
3381,338,1022,5,3,0,0,1,1
2866,761,1027,2,0,1,4,1,0
3408,337,1025,4,0,1,1,2,1
787,787,1029,0,0,0,3,0,0
3424,3314,1033,0,0,0,5,0,0
3423,2660,1032,4,1,2,1,0,1
1236,337,1031,2,1,0,3,1,0
500,787,1034,3,1,0,2,0,2
500,787,1035,3,0,0,0,0,3
3286,3314,1026,2,0,2,3,0,0
2598,338,1037,3,2,0,2,1,0
2148,2660,1036,5,1,0,0,2,2
622,338,1038,5,2,1,0,1,1
933,338,1041,5,2,1,0,2,0
3437,2660,1040,0,0,0,5,0,0
1157,338,1039,0,0,0,5,0,0
1646,338,1044,5,0,0,0,3,2
3450,3314,1043,3,1,1,2,0,1
2731,2660,1042,2,1,0,3,1,0
3167,2660,1045,5,5,0,0,0,0
3461,2660,1046,4,1,2,1,1,0
2137,3314,1049,4,1,0,1,2,1
2226,338,1051,1,0,0,4,1,0
643,2660,1053,4,2,0,1,2,0
2227,3314,1054,2,0,1,3,1,0
2365,338,1055,5,1,2,0,2,0
3427,2660,1052,2,1,1,3,0,0
3486,2660,1056,2,1,0,3,1,0
356,338,1050,5,0,0,0,5,0
3338,2660,1048,5,1,2,0,2,0
2468,338,1059,3,2,0,2,1,0
3522,3314,1061,4,2,0,1,2,0
3473,2660,1060,5,3,1,0,1,0
1868,338,1064,3,0,2,2,0,1
2854,2660,1065,5,3,0,0,1,1
3537,3314,1068,5,3,0,0,1,1
577,338,1069,2,0,0,3,2,0
3500,2660,1070,4,2,1,1,1,0
3311,2660,1073,5,0,2,0,3,0
3176,338,1074,2,0,0,1,1,1
3542,3314,1071,4,2,0,1,1,1
3513,2660,1058,5,1,0,0,2,2
3481,338,1076,3,1,0,2,2,0
3544,338,1072,5,3,0,0,1,1
3543,2660,1075,3,2,0,2,1,0
3485,2660,1077,4,1,0,1,3,0
1350,3314,1084,3,3,0,2,0,0
2733,338,1083,5,0,2,0,3,0
3587,2660,1085,4,4,0,1,0,0
3581,338,1082,4,2,2,1,0,0
3558,338,1079,3,0,0,2,3,0
3586,3314,1080,3,0,1,2,0,2
3610,2660,1087,5,2,1,0,2,0
3601,2660,1086,4,1,1,1,2,0
1779,338,1092,3,1,0,2,0,2
3629,3314,1091,3,2,0,2,0,1
3624,338,1090,0,0,0,5,0,0
2057,2660,1094,3,1,0,0,2,0
3649,338,1096,5,2,1,0,1,1
3622,338,1095,2,1,1,3,0,0
2972,338,1107,0,0,0,5,0,0
3740,2660,1105,0,0,0,5,0,0
2490,3314,1104,3,0,0,2,3,0
3717,2660,1102,0,0,0,5,0,0
3660,3314,1098,5,0,3,0,1,1
3653,2660,1097,4,0,2,1,1,1
2678,338,1093,1,0,0,4,1,0
2133,3314,1108,3,0,0,2,3,0
