uid,label,budget_pant,budget_westerndress,budget_top,budget_skirt,budget_kurta,budget_jacket,budget_scarf,budget_jewellery
2156,0,0,0,0,0,0,0,0,0
9251,2,4,5,3,3,3,4,4,1
295,1,4,3,4,3,3,4,4,2
14314,1,4,4,3,3,3,3,3,1
16836,1,4,4,3,3,3,3,3,1
8693,0,0,0,0,0,0,0,0,0
9795,3,4,4,4,4,3,5,5,2
14603,2,4,4,3,3,3,3,3,1
18398,2,4,4,3,3,3,3,3,1
3264,0,0,0,0,0,0,0,0,0
13279,1,4,4,3,3,3,3,3,1
14680,1,4,4,3,3,3,3,3,1
18479,4,4,4,3,3,4,4,4,1
9098,3,5,4,4,4,4,5,5,2
5474,2,3,3,3,3,3,3,3,1
17513,2,4,4,3,3,3,4,4,1
7405,1,3,3,3,3,3,3,3,1
5456,2,4,4,3,3,3,3,3,1
8830,2,3,3,3,3,3,3,3,1
100,4,2,2,2,3,3,3,3,3
1108,0,0,0,0,0,0,0,0,0
8144,2,3,2,3,3,3,4,4,1
8945,0,0,0,0,0,0,0,0,0
6400,0,0,0,0,0,0,0,0,0
12870,0,0,0,0,0,0,0,0,0
3830,4,3,3,2,3,2,3,3,1
16834,4,4,4,3,3,3,3,3,1
17765,0,0,0,0,0,0,0,0,0
1644,0,0,0,0,0,0,0,0,0
2703,0,0,0,0,0,0,0,0,0
12994,0,0,0,0,0,0,0,0,0
16970,4,4,4,3,3,3,4,4,1
18135,1,4,4,3,3,3,3,3,1
10726,1,4,4,3,3,3,3,3,1
6701,0,0,0,0,0,0,0,0,0
1262,0,0,0,0,0,0,0,0,0
18892,0,0,0,0,0,0,0,0,0
5992,0,0,0,0,0,0,0,0,0
16184,0,0,0,0,0,0,0,0,0
7195,1,3,3,3,3,3,3,3,1
12885,0,0,0,0,0,0,0,0,0
2626,1,3,2,2,2,3,3,3,1
5404,2,3,3,3,3,3,3,3,1
6578,2,3,3,3,3,3,3,3,2
18004,2,4,4,3,3,3,4,4,1
16104,0,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0,0,0,0
477,2,1,3,1,1,1,3,3,1
4662,1,3,4,3,3,3,4,4,1
11849,1,4,0,4,4,3,4,4,1
6553,1,3,3,3,3,3,3,3,1
19279,1,4,4,3,3,3,3,3,1
12531,2,4,4,3,3,3,3,3,1
17188,0,0,0,0,0,0,0,0,0
11089,0,0,0,0,0,0,0,0,0
12942,0,0,0,0,0,0,0,0,0
727,0,0,0,0,0,0,0,0,0
9421,4,4,4,4,3,3,4,4,1
13318,0,0,0,0,0,0,0,0,0
4801,3,4,5,4,4,4,4,4,2
2126,1,3,3,3,3,3,5,5,1
14446,3,4,4,4,4,4,5,5,2
9626,0,0,0,0,0,0,0,0,0
14802,0,0,0,0,0,0,0,0,0
18380,0,0,0,0,0,0,0,0,0
13072,1,4,4,3,3,3,3,3,1
8202,1,3,3,3,3,3,3,3,1
18993,0,0,0,0,0,0,0,0,0
365,2,4,5,4,4,3,3,3,2
18684,0,0,0,0,0,0,0,0,0
16385,0,0,0,0,0,0,0,0,0
2913,1,3,3,2,2,2,3,3,1
4017,1,3,4,2,2,2,3,3,1
10503,0,0,0,0,0,0,0,0,0
6774,0,0,0,0,0,0,0,0,0
2174,1,4,4,2,2,2,3,3,1
10838,0,0,0,0,0,0,0,0,0
2046,1,4,5,3,4,2,3,3,1
13837,1,4,4,3,3,3,3,3,1
16698,2,4,4,3,3,3,3,3,1
17016,1,4,4,3,3,3,3,3,1
17653,2,4,4,3,3,3,3,3,1
7567,0,0,0,0,0,0,0,0,0
3590,1,3,3,2,3,3,3,3,1
13436,2,4,4,4,4,4,5,5,2
3995,1,3,3,3,3,3,3,3,1
4647,0,0,0,0,0,0,0,0,0
3463,0,0,0,0,0,0,0,0,0
17520,0,0,0,0,0,0,0,0,0
1152,3,5,3,3,3,3,3,3,5
13514,3,4,4,4,4,4,5,5,3
2188,2,3,3,4,3,3,4,4,1
2530,0,0,0,0,0,0,0,0,0
13734,0,0,0,0,0,0,0,0,0
2838,0,0,0,0,0,0,0,0,0
825,2,3,2,2,2,2,2,2,1
6631,0,0,0,0,0,0,0,0,0
1749,0,0,0,0,0,0,0,0,0
11143,1,4,4,3,3,3,3,3,1
17389,3,4,4,4,5,3,5,5,1
921,1,4,4,3,3,3,4,4,1
18828,0,0,0,0,0,0,0,0,0
17457,0,0,0,0,0,0,0,0,0
8871,4,4,4,3,3,3,3,3,2
18813,0,0,0,0,0,0,0,0,0
4209,2,3,3,2,2,2,2,2,1
16425,0,0,0,0,0,0,0,0,0
13859,2,4,4,3,3,3,3,3,1
15232,0,0,0,0,0,0,0,0,0
3722,1,4,4,3,3,3,3,3,1
9184,0,0,0,0,0,0,0,0,0
4124,1,4,3,3,2,3,3,3,1
18193,0,0,0,0,0,0,0,0,0
19904,0,0,0,0,0,0,0,0,0
3203,1,3,3,2,2,3,2,2,1
14745,0,0,0,0,0,0,0,0,0
15701,0,0,0,0,0,0,0,0,0
19218,2,4,4,3,3,3,3,3,1
10229,0,0,0,0,0,0,0,0,0
7606,0,0,0,0,0,0,0,0,0
19022,1,4,4,3,3,3,3,3,1
16642,1,4,4,3,3,4,3,3,1
17758,1,4,4,3,3,3,3,3,1
6569,1,3,3,3,3,3,3,3,2
2465,3,4,4,4,4,2,4,4,2
18403,1,4,4,3,3,3,3,3,1
16301,0,0,0,0,0,0,0,0,0
6961,0,0,0,0,0,0,0,0,0
4014,0,0,0,0,0,0,0,0,0
17009,2,4,4,3,3,3,4,4,1
2724,1,3,2,2,2,2,2,2,1
18557,0,0,0,0,0,0,0,0,0
5251,3,5,4,4,4,4,4,4,2
9379,0,0,0,0,0,0,0,0,0
13558,0,0,0,0,0,0,0,0,0
19181,1,4,4,3,3,3,3,3,1
5435,0,0,0,0,0,0,0,0,0
8428,2,4,4,3,3,3,3,3,1
10004,1,4,4,3,3,3,3,3,1
14650,2,4,4,3,3,3,3,3,1
19848,0,0,0,0,0,0,0,0,0
4946,4,4,3,3,3,3,3,3,1
4475,2,4,4,3,3,3,5,5,1
17269,2,4,4,3,3,3,3,3,2
19752,2,4,4,3,3,3,3,3,1
10953,2,3,2,3,3,3,2,2,1
7950,1,3,3,3,3,3,3,3,1
17736,1,4,4,3,3,3,3,3,1
12974,0,0,0,0,0,0,0,0,0
16513,1,4,4,3,3,3,3,3,1
5727,2,3,3,3,3,3,3,3,1
6933,0,0,0,0,0,0,0,0,0
13025,0,0,0,0,0,0,0,0,0
18387,2,4,4,3,3,4,3,3,1
15678,0,0,0,0,0,0,0,0,0
2537,1,3,2,2,2,2,2,2,1
1984,0,0,0,0,0,0,0,0,0
14688,0,0,0,0,0,0,0,0,0
11404,1,4,4,3,3,3,4,4,1
9998,2,4,4,3,3,3,3,3,1
14929,0,0,0,0,0,0,0,0,0
9007,0,0,0,0,0,0,0,0,0
3175,2,3,4,3,2,2,4,4,1
1866,1,3,4,3,3,3,3,3,2
2899,1,3,2,2,2,2,3,3,1
10794,0,0,0,0,0,0,0,0,0
13600,4,4,4,3,3,3,3,3,1
8907,0,0,0,0,0,0,0,0,0
17958,0,0,0,0,0,0,0,0,0
1086,0,0,0,0,0,0,0,0,0
1297,1,3,3,2,2,2,3,3,1
10767,0,0,0,0,0,0,0,0,0
1514,1,3,2,2,2,2,2,2,1
3369,2,4,5,2,3,4,5,5,3
3161,0,0,0,0,0,0,0,0,0
2894,0,0,0,0,0,0,0,0,0
8565,0,0,0,0,0,0,0,0,0
16248,2,4,4,3,3,3,3,3,1
9954,2,4,4,4,3,4,5,5,1
9263,2,4,4,3,3,3,3,3,1
17634,0,0,0,0,0,0,0,0,0
11428,0,0,0,0,0,0,0,0,0
8006,4,3,3,3,3,3,3,3,1
4924,2,4,4,4,4,4,5,5,4
2524,0,0,0,0,0,0,0,0,0
12773,1,4,4,3,3,3,3,3,1
7664,2,4,4,4,4,4,3,3,1
4012,0,0,0,0,0,0,0,0,0
3027,0,0,0,0,0,0,0,0,0
17139,0,0,0,0,0,0,0,0,0
13375,2,4,4,3,3,3,3,3,1
5824,1,3,2,2,2,2,2,2,1
13739,0,0,0,0,0,0,0,0,0
11091,1,4,4,3,3,3,3,3,1
17543,1,4,4,3,3,3,3,3,1
14609,0,0,0,0,0,0,0,0,0
3975,0,0,0,0,0,0,0,0,0
1153,1,4,3,3,3,2,3,3,1
8712,0,0,0,0,0,0,0,0,0
3365,2,3,3,2,2,2,3,3,1
10700,0,0,0,0,0,0,0,0,0
12718,2,4,4,4,4,4,4,4,3
17138,0,0,0,0,0,0,0,0,0
950,0,0,0,0,0,0,0,0,0
249,4,1,1,0,1,1,1,1,1
12848,1,4,4,3,3,3,4,4,1
6986,3,5,5,5,5,3,5,5,3
11425,2,4,4,3,3,3,4,4,1
654,2,3,2,2,2,2,2,2,1
4285,0,0,0,0,0,0,0,0,0
4333,1,4,4,3,3,3,5,5,1
2417,2,3,2,2,2,2,3,3,1
4264,0,0,0,0,0,0,0,0,0
8815,2,3,3,3,3,3,3,3,1
18808,2,4,4,3,3,3,3,3,1
5339,2,5,5,4,5,5,0,0,0
19089,0,0,0,0,0,0,0,0,0
19605,0,0,0,0,0,0,0,0,0
18212,2,4,4,3,3,3,3,3,1
3822,2,3,2,2,2,3,2,2,1
17124,0,0,0,0,0,0,0,0,0
18418,0,0,0,0,0,0,0,0,0
1638,0,0,0,0,0,0,0,0,0
11381,2,4,4,3,3,3,3,3,1
19636,2,4,4,3,3,3,3,3,1
16712,0,0,0,0,0,0,0,0,0
17658,2,4,4,3,3,3,3,3,1
16674,1,4,4,3,3,3,3,3,1
9168,1,4,4,3,3,3,3,3,1
13012,1,4,4,3,3,3,3,3,1
15777,4,4,4,3,3,3,3,3,1
17064,1,5,4,3,3,5,3,3,1
12314,2,4,4,3,3,3,3,3,1
13095,1,4,4,3,3,3,3,3,1
13291,0,0,0,0,0,0,0,0,0
142,2,2,2,2,2,2,2,2,2
6797,0,0,0,0,0,0,0,0,0
15294,0,0,0,0,0,0,0,0,0
19227,3,4,4,4,3,3,5,5,3
16377,1,4,4,3,3,3,3,3,1
6377,0,0,0,0,0,0,0,0,0
7301,1,4,4,3,3,3,3,3,1
15239,0,0,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0,0,0
19419,1,4,4,3,3,3,3,3,1
14876,1,4,4,3,3,3,3,3,1
4120,1,4,4,3,3,3,2,2,1
405,2,3,3,2,3,2,4,4,1
2487,1,4,3,3,3,3,3,3,2
5663,2,3,3,3,3,3,4,4,1
11309,2,4,4,3,3,3,3,3,1
6161,0,0,0,0,0,0,0,0,0
18180,3,4,4,3,3,4,5,5,1
