221,668,L,516068,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/,http://stylenook.in/ecomillustrator/public/uploads/order-221stylecard.jpg,,"TOP 5
1) 20 Dresses Overlap Maroon Top-M
2)Dressbery Rahul Mishra Jacket-M
3)Anouk Grey Jacket-M
4) Major French Tunic-S
5)Ayesha Gold Toned Necklace",03/02/2017,18/02/2017,0000-00-00,,,1,0,0,,,,,,,0,,
222,673,L,410753,http://stylenook.in/ecomuser/wp-content/uploads/2017/08/,http://stylenook.in/ecomillustrator/public/uploads/order-222stylecard.pdf,,"Top 5: 1. Multi Strand White Necklace with Earrings - on hand
2. Besiva Orange Shirts
3. DressBerry Women Navy & White Striped A-Line Dress
4.  The Timeless Maroon Overlap Top
5. Saiesta Ochre Cowl Top
Back Ups: 1. Besiva Pastel Pink Tops
2.   Mast & Harbour Navy A-line Dress
3. The Timeless Overlap Top - on hand (it is in back up bcuz 2 colors in top 5 will be from same color family)                                                 4. Saiesta Green Cowl Top
",13/01/2017,28/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
223,588,L,406815,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/,,,"CORE PRODUCTS:
Red Ruffle Top-XS
Dressberry Mustard Top-S
Street 9 Lisa Top-S
Mast and Harbour Striped top-XS
Saiesta Wine Dress-S",14/01/2017,29/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
224,678,L,396747,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/,http://stylenook.in/ecomillustrator/public/uploads/order-224stylecard.pdf,,"Top 5
1.http://stylenook.in/ecomuser/product/SHORT-SLEEVE-BLOUSE-WITH-PLEAT-DETAIL-35_VWB291/ s
2.http://stylenook.in/ecomuser/product/All-About-You-from-Deepika-Padukone-Yellow-Floral-Print-Georgette-Top-15_1417893/ m
3. http://stylenook.in/ecomuser/product/The-Label-Life-Aqua-Scallop-Shift-Dress-19ACCEN-101063/ L 
4. http://stylenook.in/ecomuser/product/The-Lapis-Skirt-12VJRGRLOBG3116/ m
5.Strret 9 Geometric print Jacket

Back ups
1.http://www.myntra.com/tops/all-about-you/all-about-you-women-black--white-printed-top/1687615/buy?src=search&uq=false&q=tops-tees-menu&p=211 m (36.5)
2.http://stylenook.in/ecomuser/product/All-About-You-from-Deepika-Padukone-Brown-Shrug-15_965593/ l 
3.http://stylenook.in/ecomuser/product/Saiesta-Ikat-Print-Cowl-Dress-28SAIWDR16421WHT/ m
4.http://stylenook.in/ecomuser/product/Mast-and-Harbour-Navy-Striped-Georgette-Aline-Dress-15_1385360/ m
5. http://stylenook.in/ecomuser/product/The-Label-Life-Black-Jersey-Slit-Skirt-19ACCOM-101045/ m",14/01/2017,29/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
225,677,L,406814,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/,http://stylenook.in/ecomillustrator/public/uploads/order-225stylecard.jpg,,"Top 5: 1. Anouk Women Red Jacquard Woven Design A-Line Kurta, 2. abof Ethnic Navy & White A-line Chanderi Kurta with Printed Jacket, 3. Straight kurta with print detail, 4. Sea green beaded necklace (on-hand inventory)
5. Titch Button Pink Coloured Cotton Matka Kurti.                                                                                                                              Back ups: 1. Anouk Women Blue Self-Design Straight Kurta, 2. Abof Fusion Navy Regular Fit Kurta, 3. Straight kurta with ikat print
, 4. Titch Button Blue Coloured Manglagiri Cotton Kurta
Note: There are two links mentioned in each of the \""Additional product\"" section. Since there are 6 products from outside the catalogue.
",14/01/2017,29/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
226,644,L,410752,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/,http://stylenook.in/ecomillustrator/public/uploads/order-226stylecard.pdf,,"TOP 5
1)Saiesta Melange Assymetric Shrug. GREY, Size:L
2)SOIE Chinese Collar Casual Shirt, NAVY, Size:XL
3)20 Dresses Forest Green Palazzo, GREEN, Size:XXL
4)Vajor Burnt Sienna Dress, PRINT, Size:XL
5)ANOUK Kurta, BLACK, Size L",14/01/2017,29/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
227,554,L,406816,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/,http://stylenook.in/ecomillustrator/public/uploads/order-227stylecard.pdf,,"Top 5: 1. Mast & Harbour Red Collarless Double-Breasted Blazer, 2. All About You from Deepika Padukone Women Peach Coloured Printed Top (on hand), 3. Saiesta Grey High Neck Top, 4. The Label Life Pinstripe Button Down Skirt, 5.  Timeless Overlap Maroon Top              Back ups: 1. Mast & Harbour Green Blazer, 2. Saiesta Blush High Neck Top, 3. The Timeless Overlap Top, 4.Aruba Blue Dress.            ",14/01/2017,29/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
228,692,L,425064,,,,"TOP 5
1) SOIE, B&W Party dress. Size:L
2)Vajor Cream Printed Palazzo. Size:XL
3)Anouk Brown Rust Kurta. Size:L
4) Vedanta Navy Blue Matka Kurti. Size:L
5)ABOF Green Kurta. Size:XXL",16/01/2017,31/01/2017,0000-00-00,,,1,0,0,,,,,,,0,,
230,640,L,0,,,,,17/01/2017,01/02/2017,0000-00-00,,,1,0,0,,,,,,,0,,
231,708,L,436788,http://stylenook.in/ecomuser/wp-content/uploads/2016/08/,http://stylenook.in/ecomillustrator/public/uploads/order-231stylecard.php,,"Top 5: 1. Label life navy blue peter pan top, 2.  Vajor pink and white stripes tunic, 3. DressBerry Women Blue Regular Fit Solid Casual Shirt
4.  Peach Tie and Dye Silk Scarf (on hand)
5. Pista Green Jacket (on hand)                                                                                                                                                                                              Back Ups: 1. Label life aqua peter pan top
2. DressBerry Women Blue Regular Fit Solid Casual Shirt
3. Vajor beige n green kurta
",18/01/2017,02/02/2017,0000-00-00,,,1,0,0,,,,,,,0,,
