uid,label,western_classic,western_feminine,western_contemporary,western_boho,indo_western,indian_traditional,indian_classic,indian_contemporary,indian_funky,clothes_work
8662,0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3
9454,3,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,6
10632,4,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,0
17463,2,3.0,4.0,2.0,1.0,1.0,2.0,2.6,2.4,2.6,12
15942,4,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3
16371,2,2.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,12
13806,2,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,12
16687,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,12
9128,2,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,12
11691,2,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,12
1697,0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,3
2220,1,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,12
17092,4,3.0,3.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,3
9542,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12
17663,4,2.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,3
439,2,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,12
455,0,3.0,4.0,3.0,1.0,2.0,2.0,2.6,2.4,2.6,3
7841,4,4.0,2.0,4.0,3.0,2.0,2.0,2.6,2.4,2.6,3
9176,4,4.0,4.0,3.0,2.0,2.0,2.0,2.6,2.4,2.6,3
10263,0,2.0,2.0,1.0,1.0,1.0,2.0,2.6,2.4,2.6,3
2673,2,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,12
2861,4,2.0,2.0,4.0,4.0,4.0,2.0,2.6,2.4,2.6,3
16004,2,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,12
6111,3,2.0,3.0,4.0,2.0,3.0,2.0,2.6,2.4,2.6,6
15633,4,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0,3
13136,1,3.0,4.0,3.0,4.0,3.0,2.0,2.6,2.4,2.6,12
6268,1,3.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,12
845,2,3.0,2.0,1.0,1.0,1.0,2.0,2.6,2.4,2.6,12
15587,3,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,6
19156,3,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,6
16272,2,2.0,2.0,1.0,1.0,2.0,2.0,2.6,2.4,2.6,12
15389,3,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,6
14574,0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3
1787,2,2.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,12
12725,3,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,6
16670,0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3
427,0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3
14227,2,3.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,12
14759,0,2.0,2.0,2.0,1.0,1.0,2.0,2.6,2.4,2.6,3
19387,3,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,6
14553,3,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,6
10558,2,3.0,2.0,4.0,1.0,1.0,2.0,2.6,2.4,2.6,12
2608,2,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,12
5337,0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,3
9556,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,12
10100,3,2.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,6
7435,0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3
5341,4,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3
8477,4,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3
14805,0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,3
10098,4,2.0,4.0,3.0,2.0,3.0,1.25,3.0,2.0,3.0,3
11452,0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3
19110,0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,3
378,0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3
12797,4,2.0,3.0,3.0,3.0,2.0,3.0,4.0,1.0,1.0,3
1891,2,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,12
3872,0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,3
14265,1,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,12
12253,0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3
19101,3,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,6
576,3,3.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,6
7227,3,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,6
8030,0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,3.0,3.0,3
16105,1,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,12
14952,2,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,12
15105,4,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,1.0,3
17284,0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3
587,0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,3
4652,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3
2304,3,2.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,6
2797,3,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,6
12640,3,3.0,3.0,1.0,2.0,1.0,2.0,2.6,2.4,2.6,6
14623,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,12
11421,1,2.0,2.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,12
8575,4,4.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,3
5219,0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3
18148,3,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,1.0,6
9460,4,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3
6939,2,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,12
11395,2,2.0,3.0,2.0,3.0,1.0,2.0,2.6,2.4,2.6,12
6975,0,3.0,2.0,2.0,1.0,1.0,2.0,2.6,2.4,2.6,3
2331,3,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,6
3595,0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,0
18970,0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,3
6709,1,3.0,3.0,4.0,4.0,2.0,2.0,2.6,2.4,2.6,12
7109,4,3.0,3.0,3.0,1.0,4.0,3.0,4.0,2.0,1.0,3
708,0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0
16369,0,3.0,2.0,4.0,1.0,1.0,2.0,2.6,2.4,2.6,3
19495,2,2.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,12
7381,3,3.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,6
17878,4,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3
12527,2,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,12
4710,3,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,6
15709,0,2.0,2.0,3.0,2.0,1.0,2.0,2.6,2.4,2.6,3
10934,3,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,6
5232,4,3.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,3
488,1,3.0,4.0,2.0,2.0,3.0,2.0,2.6,2.4,2.6,12
18352,0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3
8243,3,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,6
12212,3,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,6
16455,1,2.0,3.0,2.0,3.0,3.0,2.0,2.6,2.4,2.6,12
12888,4,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3
274,1,2.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,12
19005,3,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,6
17427,4,3.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,3
14739,3,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,6
12850,3,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,6
14958,0,3.0,2.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,3
12307,4,3.0,2.0,4.0,1.0,3.0,2.0,2.6,2.4,2.6,3
13986,3,2.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,6
4268,3,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6
1832,0,3.0,2.0,3.0,2.0,2.0,2.0,2.6,2.4,2.6,3
2313,2,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,12
10480,1,2.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,12
12298,2,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,12
681,2,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,12
17402,0,2.0,2.0,3.0,1.0,1.0,2.0,2.6,2.4,2.6,3
5868,4,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3
807,2,3.0,3.0,2.0,1.0,1.0,2.0,2.6,2.4,2.6,12
7684,0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3
19334,2,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,12
9822,0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,3
5105,0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,3
4659,3,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,6
12875,3,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,6
853,0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3
572,3,2.0,3.0,4.0,1.0,2.0,2.0,2.6,2.4,2.6,6
14322,3,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,6
17537,4,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3
2042,0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3
3740,0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,0
8109,1,3.0,3.0,3.0,3.0,3.0,2.0,2.6,2.4,2.6,12
5861,0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3
6433,4,2.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,0
2649,4,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3
16995,4,2.0,2.0,3.0,4.0,1.0,2.0,2.6,2.4,2.6,3
18409,2,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,12
11217,4,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3
2852,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,12
16934,0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3
16969,4,2.0,2.0,3.0,3.0,2.0,2.0,2.6,2.4,2.6,3
5862,0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3
17065,1,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,12
7384,0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3
17717,4,2.0,3.8,1.8,1.4,3.0,3.0,3.0,3.0,3.0,3
13903,3,3.0,2.0,3.0,1.0,1.0,2.0,2.6,2.4,2.6,6
18357,2,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,12
861,1,1.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,12
13999,1,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,12
11917,4,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3
10265,2,2.0,2.0,2.0,3.0,2.0,2.0,2.6,2.4,2.6,12
11378,0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3
19296,0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3
5978,4,4.0,2.0,3.0,3.0,2.0,2.0,2.6,2.4,2.6,3
15189,2,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,12
3033,2,2.0,4.0,2.0,3.0,1.0,2.0,2.6,2.4,2.6,12
11620,3,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,6
6766,2,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,12
16251,0,3.0,3.0,3.0,2.0,2.0,2.0,2.6,2.4,2.6,0
8156,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,12
18276,4,2.0,2.0,3.0,3.0,4.0,2.0,2.6,2.4,2.6,3
11744,2,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,12
7668,4,4.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,0
5317,3,3.0,2.0,3.0,2.0,2.0,2.0,2.6,2.4,2.6,6
13169,3,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6
8059,1,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,12
86,3,2.375,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,6
12596,1,3.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0,12
147,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6
17818,4,3.0,3.0,2.0,3.0,3.0,2.0,2.6,2.4,2.6,3
10756,3,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,6
10231,2,2.0,2.0,2.0,2.0,2.0,2.0,2.6,2.4,2.6,12
2066,4,2.0,3.0,3.0,2.0,3.0,2.0,2.6,2.4,2.6,3
9991,4,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3
10542,3,2.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,6
14663,4,3.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,3
5501,2,1.0,1.0,1.0,1.0,1.0,2.0,2.6,2.4,2.6,12
