u_id,s_id,o_id,return_count,returns nms,return_count similar,nonreturn_count,return_shape
2466,3314,1463,3,0,0,3,3
1221,3314,1350,4,2,0,1,1
5781,3314,1753,4,0,1,1,2
7116,3314,2066,4,2,1,0,1
3788,3314,1112,1,1,0,4,0
6656,3314,2266,4,2,1,1,1
4612,3314,1282,5,1,1,0,2
13434,3314,3288,5,2,0,0,2
7992,3314,2234,5,0,3,0,2
10878,3314,3083,4,1,1,1,2
3595,3314,1746,2,1,0,4,1
1714,3314,1597,4,4,0,1,0
698,3314,4057,4,2,0,1,0
706,3314,1738,5,1,1,0,2
17381,3314,3887,5,5,0,0,0
4013,3314,1152,4,2,1,1,1
4270,3314,1250,5,0,1,0,3
14632,3314,3415,4,1,2,1,1
3537,3314,1068,5,3,0,0,1
644,3314,3581,4,1,1,1,2
14661,3314,4258,0,0,0,5,0
9010,3314,2683,4,0,3,1,0
4143,3314,1182,5,2,0,0,3
3810,3314,1121,5,3,0,0,1
5760,3314,1744,3,0,2,2,1
6204,3314,1842,4,3,0,0,0
12280,3314,3051,5,0,1,0,2
6452,3314,2162,4,1,2,1,1
15926,3314,3560,1,0,0,4,0
4370,3314,1309,5,1,2,0,2
6040,3314,1806,7,4,0,0,2
4185,3314,1191,4,2,0,1,0
5417,3314,1695,5,0,2,0,2
11239,3314,3368,3,2,1,2,0
5203,3314,1560,5,4,0,0,0
4747,3314,1334,3,0,0,2,2
4663,3314,1320,3,1,0,2,1
8226,3314,2263,3,1,0,2,0
10828,3314,3398,5,0,0,0,4
17314,3314,3868,5,0,0,0,3
6895,3314,1971,3,1,1,2,0
4566,3314,1271,3,2,1,2,0
509,3314,1114,3,2,1,2,0
2077,3314,1555,5,1,0,0,4
5426,3314,3095,5,3,0,0,0
5153,3314,1540,5,2,1,0,1
5004,3314,1459,6,5,0,2,0
8506,3314,2320,5,5,0,0,0
6127,3314,1851,3,0,0,2,2
4016,3314,1171,3,0,2,2,1
13221,3314,3240,5,3,2,0,0
18672,3314,4185,5,4,1,0,0
5246,3314,1589,3,2,1,3,0
4911,3314,1446,5,4,0,0,1
5228,3314,1567,4,0,4,2,0
7882,3314,2181,3,2,0,2,1
4209,3314,1199,4,1,0,1,2
8716,3314,2382,4,2,1,1,1
15857,3314,3518,5,3,0,0,0
4440,3314,4227,0,0,0,4,0
2055,3314,1386,4,1,0,1,2
19143,3314,4287,0,0,0,5,0
7964,3314,2204,3,0,1,2,2
17941,3314,4203,2,0,0,2,2
7041,3314,1988,5,0,5,0,0
17009,3314,3890,4,0,1,1,0
3215,3314,2087,2,0,1,2,1
7222,3314,2033,5,1,0,0,0
3240,3314,1408,5,4,0,1,1
7198,3314,2029,5,0,1,0,4
1341,3314,2657,4,2,0,1,1
14674,3314,3370,4,1,0,1,1
8548,3314,2324,5,4,0,0,0
2192,3314,2024,5,1,3,0,0
13441,3314,3209,5,1,2,0,1
17497,3314,3936,0,0,0,5,0
9365,3314,3280,3,2,1,2,0
5332,3314,1982,1,1,0,4,0
1740,3314,1244,0,0,0,5,0
259,3314,1217,5,1,3,0,0
807,3314,2144,3,1,0,2,1
15793,3314,3528,5,4,0,0,0
6032,3314,1804,6,3,0,0,2
